"","model_S$FREQUENCY","V2","V3"
"1",7,66.84,-162.56
"2",6,67.09,-157.86
"3",4,66.57,-145.25
"4",3,66.9,-162.59
"5",2,39.2,-106.84
"6",2,39.36,-106.82
"7",2,39.29,-111.27
"8",2,39.2,-108.05
"9",2,39.14,-108
"10",2,38.51,-107.62
"11",2,39.09,-106.35
"12",2,39.31,-102.27
"13",2,38.88,-104.82
"14",2,38.86,-104.93
"15",2,38.84,-104.97
"16",2,38.88,-104.82
"17",2,38.82,-104.83
"18",2,38.97,-104.9
"19",2,38.63,-104.71
"20",2,38.63,-104.71
"21",2,38.73,-108.07
"22",2,39.62,-106.07
"23",2,39.46,-105.68
"24",2,39.43,-105.13
"25",2,39.46,-105.07
"26",2,39.34,-111.55
"27",2,38.56,-104.69
"28",2,39.51,-112.58
"29",2,39.26,-111.6
"30",2,39.26,-111.62
"31",2,39.54,-111.42
"32",2,39.17,-111.03
"33",2,39.38,-111.08
"34",2,39.15,-108.32
"35",2,39.14,-108.73
"36",2,38.53,-106.18
"37",2,39.57,-107.23
"38",2,39.07,-108.59
"39",2,39.25,-106.37
"40",2,39.55,-110.39
"41",2,39.36,-102.24
"42",2,39.52,-107.73
"43",2,39.2,-103.7
"44",2,38.58,-112.92
"45",2,38.55,-112.94
"46",2,39.52,-107.81
"47",2,39.36,-102.34
"48",2,39.41,-103.69
"49",2,38.72,-104.78
"50",2,38.51,-112.95
"51",2,38.96,-104.81
"52",2,39.1,-108.35
"53",2,39.45,-103.55
"54",2,39.34,-103.58
"55",2,39.16,-112.34
"56",2,38.6,-104.69
"57",2,39.17,-103.85
"58",2,39.15,-112.36
"59",2,39.52,-112.55
"60",2,38.77,-104.75
"61",2,38.93,-104.21
"62",2,39.33,-102.17
"63",2,38.56,-112.58
"64",2,39.35,-103.47
"65",2,39.07,-108.51
"66",2,39.53,-107.7
"67",2,38.52,-113.03
"68",2,38.5,-113.03
"69",2,38.5,-112.99
"70",2,38.96,-112.36
"71",2,39.42,-107.16
"72",2,38.83,-122.77
"73",2,38.83,-122.88
"74",2,38.64,-121.17
"75",2,39.14,-121.64
"76",2,38.66,-121.73
"77",2,38.77,-120.81
"78",2,39.57,-120.58
"79",2,39.53,-121.1
"80",2,39.33,-121.19
"81",2,38.59,-121.46
"82",2,38.79,-122.76
"83",2,38.69,-121.74
"84",2,39.45,-120.65
"85",2,39.08,-120.41
"86",2,39.37,-119.76
"87",2,38.79,-122.75
"88",2,39.22,-120.84
"89",2,38.5,-120.22
"90",2,39.14,-121.64
"91",2,38.52,-121.4
"92",2,39.27,-120.93
"93",2,39.51,-121.63
"94",2,39.55,-121.85
"95",2,39.34,-120.64
"96",2,39.24,-121.27
"97",2,38.92,-122.57
"98",2,39.29,-118.57
"99",2,38.83,-121.31
"100",2,39.54,-121.49
"101",2,39.61,-121.6
"102",2,39,-120.75
"103",2,39.56,-119.53
"104",2,39.29,-119.59
"105",2,38.52,-121.48
"106",2,39.02,-120.6
"107",2,39.24,-121.27
"108",2,39.32,-120.64
"109",2,39,-120.73
"110",2,39.53,-121.49
"111",2,39.37,-122.27
"112",2,39.58,-121.12
"113",2,39.25,-120.03
"114",2,38.8,-122.84
"115",2,38.79,-122.72
"116",2,38.49,-121.39
"117",2,38.84,-118.32
"118",2,39.22,-120.84
"119",2,38.78,-122.75
"120",2,39.55,-121.2
"121",2,39.26,-120.77
"122",2,39.29,-121.67
"123",2,38.53,-121.4
"124",2,39.3,-120.84
"125",2,38.79,-121.38
"126",2,38.83,-120.53
"127",2,38.84,-121.09
"128",2,38.61,-121.16
"129",2,38.71,-121.16
"130",2,38.79,-120.62
"131",2,38.67,-121.71
"132",2,39.59,-116.91
"133",2,39.37,-121.68
"134",2,39.42,-120.03
"135",2,39.05,-121.32
"136",2,38.56,-121.26
"137",2,38.64,-121.22
"138",2,38.51,-122.1
"139",2,39.14,-121.64
"140",2,39.56,-121.3
"141",2,38.61,-121.17
"142",2,38.84,-122.83
"143",2,38.69,-121.93
"144",2,39.47,-118.79
"145",2,38.85,-120.38
"146",2,39.26,-120.77
"147",2,38.52,-121.99
"148",2,39.37,-121.68
"149",2,39.46,-119.07
"150",2,39.18,-120.89
"151",2,38.77,-120.79
"152",2,38.98,-120.32
"153",2,39.13,-119.13
"154",2,39.22,-120.8
"155",2,38.9,-121.31
"156",2,38.5,-121.69
"157",2,38.75,-122.72
"158",2,39.55,-119.8
"159",2,38.76,-122.97
"160",2,39.32,-120.65
"161",2,38.86,-120.44
"162",2,39.1,-114.49
"163",2,38.81,-121.32
"164",2,39.05,-121.7
"165",2,39.05,-121.7
"166",2,38.77,-123.02
"167",2,38.77,-117.69
"168",2,39.55,-121.28
"169",2,38.76,-122.69
"170",2,39.56,-119.51
"171",2,38.89,-121.1
"172",2,38.75,-122.71
"173",2,39.11,-121.61
"174",2,38.96,-121.04
"175",2,38.51,-122.48
"176",2,39.11,-122.11
"177",2,39.31,-119.59
"178",2,38.82,-122.84
"179",2,38.72,-123.01
"180",2,38.5,-121.69
"181",2,39.55,-118.56
"182",2,39.5,-114.78
"183",2,39.13,-120.95
"184",2,38.51,-121.47
"185",2,39.46,-119.07
"186",2,38.83,-120.54
"187",2,39.48,-121.57
"188",2,38.55,-121.42
"189",2,38.9,-120.38
"190",2,39.56,-119.52
"191",2,38.65,-121.39
"192",2,39.59,-119.07
"193",2,38.69,-121.16
"194",2,38.6,-121.69
"195",2,38.57,-122.44
"196",2,38.57,-121.34
"197",2,38.78,-120.78
"198",2,39.08,-122.54
"199",2,39.4,-119.75
"200",2,39.59,-122.53
"201",2,39.39,-119.75
"202",2,39.07,-121.4
"203",2,38.64,-121.51
"204",2,38.51,-121.19
"205",2,39.49,-121.56
"206",2,38.55,-118.19
"207",2,39.15,-119.75
"208",2,39.39,-119.75
"209",2,39.54,-118.56
"210",2,39.49,-119.62
"211",2,39.56,-118.84
"212",2,39.3,-119.56
"213",2,39.6,-116.89
"214",2,38.6,-121.4
"215",2,38.65,-121.16
"216",2,39.47,-120.1
"217",2,38.84,-121.34
"218",2,38.55,-121.75
"219",2,38.65,-121.17
"220",2,39.39,-119.75
"221",2,38.62,-121.06
"222",2,39.39,-119.75
"223",2,38.77,-123.02
"224",2,38.84,-118.33
"225",2,39.01,-121.06
"226",2,39.37,-119.77
"227",2,39.2,-123.19
"228",2,39.36,-123.13
"229",2,39.22,-120.99
"230",2,39.53,-121.55
"231",2,38.69,-121.59
"232",2,39.16,-119.18
"233",2,39.39,-119.75
"234",2,39.13,-119.14
"235",2,38.54,-121.41
"236",2,38.87,-121.3
"237",2,39.48,-121.57
"238",2,39.48,-121.56
"239",2,38.77,-122.65
"240",2,39.17,-119.74
"241",2,38.57,-121.3
"242",2,38.55,-121.54
"243",2,39.13,-121.53
"244",2,38.59,-121.56
"245",2,38.87,-121.3
"246",2,39.19,-123.22
"247",2,38.69,-121.95
"248",2,38.66,-121.39
"249",2,38.84,-121.29
"250",2,39.56,-119.72
"251",2,38.56,-121.75
"252",2,39.11,-122.92
"253",2,38.64,-121.51
"254",2,38.91,-121.33
"255",2,38.98,-122.63
"256",2,39.39,-121.56
"257",2,38.68,-122.88
"258",2,38.81,-121.28
"259",2,39.51,-121.46
"260",2,39.22,-121.64
"261",2,39.14,-121.64
"262",2,39.52,-119.8
"263",2,39.6,-75.63
"264",2,38.59,-75.23
"265",2,39.17,-75.54
"266",2,38.64,-75.61
"267",2,39.18,-76.54
"268",2,38.9,-76.96
"269",2,38.87,-77.01
"270",2,39.06,-89.4
"271",2,39.13,-87.66
"272",2,39.59,-89.5
"273",2,38.73,-90.05
"274",2,38.86,-90.13
"275",2,38.66,-90.18
"276",2,38.61,-89.52
"277",2,38.61,-89.36
"278",2,38.74,-89.69
"279",2,39.39,-87.69
"280",2,39.6,-88.61
"281",2,38.74,-85.42
"282",2,39.08,-84.86
"283",2,39.48,-86.42
"284",2,38.53,-87.25
"285",2,38.8,-87.25
"286",2,38.78,-84.96
"287",2,39.53,-87.42
"288",2,38.52,-87.27
"289",2,39.4,-101.04
"290",2,39.01,-95.27
"291",2,38.88,-97.2
"292",2,39.05,-95.57
"293",2,38.77,-95.19
"294",2,39.46,-98.11
"295",2,38.76,-95.84
"296",2,39.37,-97.13
"297",2,39.39,-101.06
"298",2,38.95,-99.53
"299",2,39.34,-101.71
"300",2,38.67,-96.95
"301",2,39.36,-99.84
"302",2,38.51,-98.77
"303",2,39.47,-95.73
"304",2,39.09,-94.65
"305",2,39.15,-94.64
"306",2,38.53,-99.31
"307",2,39.04,-98.15
"308",2,39.12,-97.71
"309",2,39.13,-100.85
"310",2,38.63,-95.83
"311",2,38.5,-94.96
"312",2,39.44,-98.69
"313",2,38.62,-95.28
"314",2,38.89,-98.86
"315",2,38.89,-101.75
"316",2,39.44,-99.28
"317",2,39.2,-96.31
"318",2,38.75,-85.04
"319",2,38.78,-76.08
"320",2,39.32,-76.37
"321",2,39.27,-76.6
"322",2,39.18,-76.53
"323",2,39.42,-76.51
"324",2,39.44,-76.22
"325",2,39.3,-76.56
"326",2,39.24,-76.51
"327",2,39.27,-76.63
"328",2,38.49,-75.82
"329",2,39.52,-79.41
"330",2,39.6,-77.83
"331",2,38.54,-76.68
"332",2,39.21,-77.46
"333",2,39.11,-94.58
"334",2,39.13,-94.48
"335",2,39.12,-94.56
"336",2,38.59,-92.22
"337",2,38.79,-94.28
"338",2,39.18,-94.18
"339",2,38.68,-90.54
"340",2,38.56,-90.84
"341",2,38.92,-90.29
"342",2,39.35,-93.5
"343",2,38.96,-92.32
"344",2,39.14,-92.68
"345",2,38.87,-91.95
"346",2,39.07,-93.71
"347",2,39.09,-94.33
"348",2,39.09,-94.41
"349",2,39.11,-94.38
"350",2,39.06,-94.39
"351",2,39.12,-93.21
"352",2,39,-93.97
"353",2,39.31,-91.49
"354",2,39.55,-92.64
"355",2,38.68,-91.76
"356",2,39.23,-94.31
"357",2,39.29,-74.63
"358",2,39.45,-75.2
"359",2,39.03,-74.88
"360",2,39.37,-74.44
"361",2,39.46,-75.54
"362",2,39.49,-75.03
"363",2,38.99,-84.3
"364",2,39.46,-84.38
"365",2,39.11,-84.8
