Frequency,Longitude,Latitude
1,-179.7458333,-16.77910666
1,-170.8125,-14.30410666
1,-157.8958333,21.39589334
1,-157.8541667,21.35422667
1,-157.7875,21.37089334
1,-156.2625,20.91256
1,-156.1708333,20.85422667
1,-156.1375,20.84589334
1,-156.0958333,20.64589334
1,-155.7708333,20.22089334
1,-155.3708333,20.03756
1,-155.0875,19.72922667
2,-135.3958333,57.11256
1,-135.3208333,59.44589334
1,-134.4708333,58.33756
1,-134.4208333,58.30422667
1,-127.0708333,50.58756
1,-125.3041667,50.04589334
1,-124.4375,42.68756
1,-124.4375,48.30422667
1,-124.4125,42.33756
1,-124.3125,42.07922667
1,-124.2208333,43.39589334
1,-124.2125,40.62089334
1,-124.1458333,41.05422667
1,-124.1458333,49.25422667
2,-124.1291667,44.12089334
1,-124.1208333,44.13756
2,-124.1125,44.28756
1,-124.1125,44.24589334
1,-124.1125,44.16256
2,-124.1125,41.02922667
1,-124.1041667,42.92089334
2,-124.0708333,41.38756
1,-124.0708333,44.04589334
2,-124.0708333,44.78756
1,-124.0708333,41.35422667
1,-124.0708333,44.04589334
1,-124.0541667,44.72922667
1,-124.0541667,43.97922667
1,-124.0458333,44.42922667
1,-124.0291667,44.88756
1,-124.0041667,44.41256
2,-124.0041667,44.62922667
1,-123.9958333,43.44589334
1,-123.9791667,47.15422667
1,-123.9708333,44.62922667
1,-123.9625,45.82922667
1,-123.9625,45.78756
1,-123.9625,45.91256
2,-123.9458333,45.57089334
1,-123.9375,45.57089334
1,-123.9375,44.63756
3,-123.9375,45.56256
1,-123.9291667,45.56256
1,-123.9291667,45.95422667
1,-123.9291667,45.56256
1,-123.9291667,45.66256
1,-123.9208333,45.96256
1,-123.9041667,45.54589334
1,-123.9041667,44.78756
2,-123.8958333,45.56256
1,-123.8875,45.56256
1,-123.8791667,45.22089334
1,-123.8791667,45.69589334
1,-123.8791667,43.65422667
2,-123.8708333,44.40422667
3,-123.8625,44.39589334
1,-123.8625,44.39589334
1,-123.8541667,42.96256
1,-123.8458333,45.25422667
2,-123.8458333,45.42922667
1,-123.8458333,44.39589334
1,-123.8375,44.06256
1,-123.8375,44.39589334
1,-123.8375,42.96256
1,-123.8375,45.27089334
2,-123.8291667,44.06256
1,-123.8208333,42.96256
1,-123.8208333,44.06256
1,-123.8125,44.37922667
2,-123.7958333,39.69589334
1,-123.7875,44.37922667
1,-123.7875,44.06256
1,-123.7791667,44.63756
2,-123.7708333,46.19589334
2,-123.7541667,46.18756
1,-123.7458333,46.09589334
1,-123.7458333,42.97089334
1,-123.7458333,44.41256
1,-123.7458333,39.90422667
1,-123.6625,43.65422667
1,-123.6625,43.63756
1,-123.6541667,43.67089334
1,-123.6208333,44.12089334
1,-123.6041667,45.49589334
1,-123.5958333,45.56256
1,-123.5958333,46.99589334
1,-123.5875,44.13756
3,-123.5791667,45.56256
2,-123.5791667,44.15422667
2,-123.5791667,44.15422667
1,-123.5625,44.41256
1,-123.5375,45.89589334
1,-123.5291667,44.19589334
1,-123.5291667,45.93756
1,-123.5125,45.93756
1,-123.5125,39.36256
1,-123.5041667,44.47089334
1,-123.4958333,45.60422667
1,-123.4875,44.47089334
1,-123.4625,45.60422667
1,-123.4208333,45.62089334
1,-123.3958333,44.81256
1,-123.3875,45.98756
2,-123.3791667,48.11256
1,-123.3541667,45.64589334
1,-123.3291667,45.64589334
1,-123.2708333,45.63756
1,-123.2625,46.05422667
1,-123.2458333,46.03756
1,-123.2458333,46.00422667
1,-123.2458333,46.02922667
2,-123.2375,46.12089334
1,-123.2291667,46.12089334
2,-123.1958333,45.97922667
2,-123.1958333,45.97922667
1,-123.1708333,45.96256
1,-123.1541667,45.11256
1,-123.1458333,44.87089334
1,-123.1291667,47.42089334
1,-123.1041667,45.56256
1,-123.0875,40.77089334
1,-123.0791667,39.81256
1,-123.0458333,44.92922667
1,-123.0208333,38.82089334
1,-123.0125,38.80422667
1,-122.9625,45.52922667
1,-122.9625,38.58756
2,-122.8958333,46.06256
1,-122.8958333,43.29589334
2,-122.8958333,38.41256
1,-122.8875,46.02922667
3,-122.8791667,45.99589334
1,-122.8791667,46.02089334
2,-122.8791667,45.99589334
2,-122.8791667,45.99589334
1,-122.8791667,45.99589334
1,-122.8791667,46.02089334
2,-122.8708333,45.97922667
1,-122.8541667,45.65422667
1,-122.8375,43.31256
1,-122.8208333,45.61256
1,-122.8125,45.29589334
1,-122.8125,45.57089334
1,-122.8041667,49.02089334
1,-122.7875,44.35422667
1,-122.7791667,45.49589334
1,-122.7625,45.57922667
1,-122.7625,45.93756
1,-122.7625,45.54589334
1,-122.7541667,46.46256
2,-122.7541667,45.92922667
1,-122.7458333,46.02922667
1,-122.7375,42.66256
1,-122.7375,46.02922667
1,-122.7208333,45.71256
1,-122.7208333,45.52089334
1,-122.7208333,45.53756
1,-122.7125,45.50422667
2,-122.7125,45.52089334
1,-122.6958333,42.66256
1,-122.6875,38.05422667
1,-122.6791667,43.31256
1,-122.6708333,45.71256
1,-122.6625,45.50422667
1,-122.6625,45.47089334
1,-122.6541667,45.42922667
2,-122.6458333,38.53756
1,-122.6208333,38.00422667
1,-122.6208333,45.34589334
1,-122.6125,38.00422667
1,-122.6041667,42.68756
1,-122.6041667,42.07089334
1,-122.6041667,43.27089334
2,-122.5875,45.34589334
1,-122.5791667,45.33756
1,-122.5458333,37.87922667
1,-122.5125,37.98756
1,-122.4958333,47.81256
2,-122.4958333,48.75422667
2,-122.4958333,47.60422667
1,-122.4958333,37.86256
1,-122.4958333,37.97922667
1,-122.4791667,45.39589334
1,-122.4791667,37.84589334
1,-122.4625,37.99589334
1,-122.4625,48.95422667
1,-122.4541667,37.89589334
1,-122.4208333,43.26256
2,-122.4208333,45.98756
1,-122.4125,37.74589334
1,-122.4125,44.12089334
1,-122.4041667,47.28756
1,-122.3875,47.76256
2,-122.3875,47.22922667
2,-122.3708333,45.51256
1,-122.3708333,40.87922667
1,-122.3708333,47.32922667
1,-122.3708333,47.94589334
2,-122.3625,47.48756
1,-122.3625,45.51256
1,-122.3625,47.47922667
1,-122.3541667,38.32922667
3,-122.3541667,47.97089334
1,-122.3458333,43.72089334
1,-122.3458333,45.29589334
2,-122.3458333,47.53756
1,-122.3458333,47.42089334
1,-122.3125,40.78756
2,-122.3125,47.63756
1,-122.2791667,37.39589334
1,-122.2791667,47.72089334
1,-122.2625,44.40422667
1,-122.2625,37.32089334
1,-122.2541667,47.24589334
1,-122.2458333,44.72089334
1,-122.2458333,45.53756
1,-122.2375,47.96256
1,-122.2208333,44.69589334
1,-122.2125,37.02922667
1,-122.1958333,47.50422667
3,-122.1958333,47.47922667
1,-122.1875,37.82922667
1,-122.1791667,43.63756
1,-122.1708333,37.36256
1,-122.1541667,47.47089334
1,-122.1458333,37.22089334
2,-122.1375,43.61256
1,-122.1291667,44.17922667
1,-122.1041667,38.51256
1,-122.1041667,47.14589334
1,-122.0958333,46.06256
1,-122.0875,37.12089334
1,-122.0875,40.71256
1,-122.0875,37.03756
1,-122.0791667,40.72922667
1,-122.0708333,47.52922667
2,-122.0708333,37.05422667
1,-122.0708333,37.21256
1,-122.0458333,40.68756
1,-122.0208333,37.14589334
1,-122.0208333,47.52922667
1,-122.0208333,37.00422667
1,-122.0125,37.04589334
1,-121.9875,37.21256
2,-121.9791667,37.07922667
1,-121.9791667,47.71256
1,-121.9625,37.02089334
1,-121.9291667,37.59589334
1,-121.9041667,44.42922667
1,-121.8875,37.91256
1,-121.8708333,37.60422667
1,-121.8708333,37.88756
1,-121.8041667,56.11256
1,-121.7958333,41.07922667
1,-121.7708333,36.23756
1,-121.7541667,36.22089334
2,-121.7458333,36.55422667
1,-121.7208333,36.81256
1,-121.7125,36.98756
1,-121.6708333,36.83756
1,-121.6125,49.32089334
1,-121.5041667,39.50422667
1,-121.4291667,49.56256
1,-121.4291667,39.62922667
1,-121.3208333,35.77089334
1,-121.2791667,50.38756
1,-121.2708333,39.93756
1,-121.2458333,40.01256
1,-121.2375,50.36256
1,-121.2125,45.74589334
2,-121.1375,38.87922667
1,-121.0958333,47.74589334
1,-121.0958333,39.29589334
1,-120.9375,44.33756
1,-120.8125,39.20422667
2,-120.7791667,35.42922667
1,-120.7041667,38.29589334
1,-120.6791667,35.46256
3,-120.6708333,38.30422667
1,-120.6541667,35.30422667
1,-120.6041667,35.13756
1,-120.4875,38.76256
1,-120.4791667,37.99589334
1,-120.4458333,38.77089334
1,-120.4208333,39.32089334
1,-120.3458333,44.55422667
1,-120.3208333,38.76256
1,-120.2875,44.57089334
1,-120.2875,37.82089334
1,-120.2625,44.59589334
1,-120.2625,38.77922667
1,-120.2125,47.91256
1,-120.1208333,44.56256
2,-120.1125,48.24589334
1,-120.1125,42.21256
2,-120.0208333,39.92089334
1,-119.9541667,48.06256
2,-119.9208333,47.88756
1,-119.9208333,38.77922667
1,-119.9041667,38.97089334
1,-119.8041667,49.75422667
2,-119.7791667,37.67089334
2,-119.7708333,38.69589334
2,-119.7625,49.75422667
1,-119.7375,34.41256
1,-119.7208333,48.56256
1,-119.7041667,34.41256
